618	493	365	316	271	212	195	177	165	166	124	132	76	0	0	0	0	0	0	0	0	0	0	0	0	0	706	493	347	299	224	201	188	150	135	121	122	104	58	0	0	0	0	0	0	0	0	0	0	0	0	0	46	36	36	22	11	19	12	13	7	14	10	14	4	0	0	0	0	0	0	0	0	0	0	0	0	0
406	349	221	214	162	134	139	131	114	118	98	109	54	0	0	0	0	0	0	0	0	0	0	0	0	0	488	333	216	189	140	128	125	94	109	88	76	85	53	0	0	0	0	0	0	0	0	0	0	0	0	0	25	26	26	26	23	14	20	18	12	12	12	13	7	0	0	0	0	0	0	0	0	0	0	0	0	0
352	257	201	183	138	124	113	95	96	92	75	82	40	0	0	0	0	0	0	0	0	0	0	0	0	0	437	255	198	161	140	113	95	88	80	65	77	59	30	0	0	0	0	0	0	0	0	0	0	0	0	0	26	17	20	17	19	18	10	12	18	10	10	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0
278	181	131	111	113	93	81	86	82	79	76	55	39	0	0	0	0	0	0	0	0	0	0	0	0	0	407	195	149	137	104	97	78	86	90	87	85	67	34	0	0	0	0	0	0	0	0	0	0	0	0	0	15	13	13	10	16	13	7	19	8	10	14	7	8	0	0	0	0	0	0	0	0	0	0	0	0	0
200	168	176	116	86	76	90	44	65	56	90	57	37	0	0	0	0	0	0	0	0	0	0	0	0	0	313	161	151	102	108	64	74	46	63	56	90	63	25	0	0	0	0	0	0	0	0	0	0	0	0	0	16	15	17	12	16	13	10	8	12	16	14	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0
141	84	71	40	52	38	53	46	42	50	38	40	28	0	0	0	0	0	0	0	0	0	0	0	0	0	180	88	50	53	45	43	53	50	49	38	35	34	27	0	0	0	0	0	0	0	0	0	0	0	0	0	44	34	19	17	20	16	21	17	16	27	17	23	19	0	0	0	0	0	0	0	0	0	0	0	0	0
43	23	14	7	4	10	14	8	7	6	6	15	6	0	0	0	0	0	0	0	0	0	0	0	0	0	81	45	22	9	5	6	4	13	9	4	12	11	10	0	0	0	0	0	0	0	0	0	0	0	0	0	138	47	41	30	21	3	8	14	12	18	16	13	18	0	0	0	0	0	0	0	0	0	0	0	0	0
91	47	62	31	29	13	17	19	16	16	6	11	7	0	0	0	0	0	0	0	0	0	0	0	0	0	142	78	57	40	37	20	12	21	14	19	17	11	9	0	0	0	0	0	0	0	0	0	0	0	0	0	94	32	37	33	32	22	33	19	23	16	12	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0
282	145	112	88	72	62	52	36	32	50	53	47	26	0	0	0	0	0	0	0	0	0	0	0	0	0	318	196	99	102	61	60	52	38	32	45	40	43	20	0	0	0	0	0	0	0	0	0	0	0	0	0	46	33	18	19	25	24	6	7	4	10	15	18	6	0	0	0	0	0	0	0	0	0	0	0	0	0
339	173	189	160	122	99	93	87	88	84	70	70	41	0	0	0	0	0	0	0	0	0	0	0	0	0	419	200	171	141	122	114	100	116	106	69	71	84	49	0	0	0	0	0	0	0	0	0	0	0	0	0	26	16	12	10	17	12	4	8	16	6	5	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
346	265	204	180	127	116	110	129	103	88	86	72	36	0	0	0	0	0	0	0	0	0	0	0	0	0	450	321	178	174	144	106	131	132	89	78	79	82	36	0	0	0	0	0	0	0	0	0	0	0	0	0	20	19	10	16	13	26	7	10	11	10	11	14	10	0	0	0	0	0	0	0	0	0	0	0	0	0
